0.1783,0.33312,0.27367,0.11555,0.091827,0,0.0051161,0,0,0.0024199
0.22052,0.067791,0.18637,0.1709,0.015712,0.098998,0.070547,0.1147,0.05111,0.0033446
0.053135,0.0090457,0.13629,0.013911,0.24391,0.29772,0.1735,0.047573,0.0099719,0.014946
0.008699,0.063876,0.5644,0.085355,0.21204,0.059282,0.0050217,0.0013248,0,0
0.041574,0.18998,0.086942,0.051102,0.092466,0.11732,0.056237,0.16747,0.055477,0.14143
0.12127,0.46648,0.084229,0.099465,0.15412,0.065133,0,0,0.009298,0
0,0.092014,0.0049734,0.041692,0.041433,0.29446,0.050752,0.22598,0.20702,0.041665
0.093725,0.65731,0.2135,0.010752,0.0085478,0.016166,0,0,0,0
0.013087,0.014966,0.072255,0.047671,0.31306,0.18907,0.046664,0.12881,0.15537,0.019048
0.020437,0.16957,0.31689,0.20894,0.1811,0.065117,0.022366,0.0049318,0.0047819,0.0058679
0.0073614,0.072608,0.094018,0.14746,0.36052,0.074897,0.16992,0.055436,0.0061795,0.011598
